"Locus" "G1" "G2" "G3" "G4" "G5" "G6" "G7" "G8" "G9" "G10" "G11" "G12" "G13" "G14" "G15" "G16" "G17" "G18" "G19" "G20" "G21" "G22" "G23" "G24" "G25" "G26" "G27" "G28" "G29" "G30" "G31" "G32" "G33" "G34" "G35" "G36" "G37" "G38" "G39" "G40" "G41" "G42" "G43" "G44" "G45" "G46" "G47" "G48" "G49" "G50" "G51" "G52" "G53" "G54" "G55" "G56" "G57" "G58" "G59" "G60" "G61" "G62" "G63" "G64" "G65" "G66" "G67" "G68" "G69" "G70" "G71" "G72" "G73" "G74" "G75" "G76" "G77" "G78" "G79" "G80" "G81" "G82" "G83" "G84" "G85" "G86" "G87" "G88" "G89" "G90" "G91" "G92" "G93" "G94" "G95" "G96" "G97" "G98" "G99" "G100" "G101" "G102" "G103" "G104" "G105" "G106" "G107" "G108" "G109" "G110" "G111" "G112" "G113" "G114" "G115" "G116" "G117" "G118" "G119" "G120" "G121" "G122" "G123" "G124" "G125" "G126" "G127" "G128" "G129" "G130" "G131" "G132" "G133" "G134" "G135" "G136" "G137" "G138" "G139" "G140" "G141" "G142" "G143" "G144" "G145" "G146" "G147" "G148" "G149" "G150" "G151" "G152" "G153" "G154" "G155" "G156" "G157" "G158" "G159" "G160" "G161" "G162" "G163" "G164" "G165" "G166" "G167" "G168" "G169" "G170" "G171" "G172" "G173" "G174" "G175" "G176" "G177" "G178" "G179" "G180"
"183" "stsnp_c1_10710" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "-" "-" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "ab" "ab" "ab" "a" "a" "a" "-" "-" "ab" "-" "-" "a" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "a" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "a"
"184" "stsnp_c1_10694" "a" "a" "a" "ab" "-" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "-" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "-" "a" "a" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "ab" "ab" "a" "a" "a" "a" "a" "ab" "a" "a" "a" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "a" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "a"
"185" "stsnp_c1_13350" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "-" "-" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "ab" "ab" "a" "a" "a" "a" "-" "ab" "-" "-" "a" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "a" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "a"
"186" "PM0436_275" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "a" "a" "-" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "-" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "-" "-" "-" "-"
"187" "pPt-458464" "a" "a" "a" "ab" "ab" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "a" "a" "a" "ab" "a" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "a"
"188" "PM0427_232" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "a" "a" "ab" "a" "a" "a" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "ab"
"189" "PM0064_156" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "a" "a" "a" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "-" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "a" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "ab"
"190" "PM0371_175" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "-" "ab" "ab" "a" "ab" "a" "ab" "a" "a" "a" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "a" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "a" "a" "ab" "ab" "a" "ab" "-" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "-" "ab" "ab" "ab" "ab" "a" "-" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "ab"
"191" "pPt-459286" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "-" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "a" "ab" "a" "ab" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "a" "a"
"192" "stsnp_c1_15785" "-" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "a" "ab" "a" "ab" "a" "-" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "-" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "-" "-" "ab" "-" "-" "ab" "ab" "a" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "a" "a"
"193" "toPt-440648" "ab" "ab" "a" "ab" "a" "-" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "a" "ab" "a" "ab" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "-" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "a" "a"
"194" "pPt-650026" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "a" "-" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "a" "a" "a" "ab" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "a"
"195" "PM0467_161" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "ab" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "-" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "ab" "-" "a" "a" "a" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "a"
"196" "pPt-655798" "ab" "a" "ab" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "ab" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "a" "ab" "a" "a"
"197" "PM0333_219" "ab" "a" "ab" "-" "a" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "a" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "ab" "ab" "a" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "ab" "a" "a" "a" "a" "a" "ab" "a" "ab" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "a" "ab" "a" "a" "-" "a" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "a" "a"
"198" "pPt-540411" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "a" "a" "a" "a" "ab" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "a" "a" "a" "a" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "a" "a" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "ab" "ab" "ab"
"199" "pPt-654984" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "a" "a" "a" "a" "ab" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "a" "a" "a" "a" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "ab" "ab" "-"
"200" "stsnp_c1_15546" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "-" "-" "ab" "ab" "a" "ab" "ab" "ab" "ab" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "-" "-" "ab" "-" "-" "ab" "ab" "a" "a" "a" "a" "a" "a" "ab" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "a" "a" "a" "a" "ab" "a" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "ab" "ab" "ab"
"201" "PM0439_176" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "a" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "a" "a" "ab" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "a" "ab" "ab"
"202" "stsnp_c1_3692" "ab" "ab" "a" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "ab" "a" "a" "ab" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "-" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "ab" "a" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "a" "a" "a" "a" "ab" "a" "ab" "-" "ab" "-" "a" "ab" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "a" "ab" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "a" "a" "ab" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "a" "ab" "ab" "a" "ab" "ab" "a" "ab" "ab" "ab" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "ab" "ab" "a" "ab" "a" "ab" "ab" "a" "a" "a" "ab" "a" "ab" "ab" "a" "ab" "ab" "a" "a" "ab" "a" "a" "a" "a" "a" "a" "ab" "ab"
