Nr,Locus,Segregation,Phase,Classification,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
85,pPt-473254,<nnxnp>,{-0},"(nn,np)",np,np,nn,nn,np,--,nn,nn,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,np,np,np,nn,--,np,np,nn,nn,np,np,nn,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,--,np,np,nn,--,np,nn,np,np,nn
86,pPt-559366,<nnxnp>,{-0},"(nn,np)",np,np,--,nn,np,--,nn,nn,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,np,np,np,nn,np,np,np,nn,nn,np,np,nn,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,nn
87,pPt-536203,<nnxnp>,{-0},"(nn,np)",np,np,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,np,np,np,nn,np,np,np,nn,nn,np,np,nn,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,--,nn,np,np,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,--,np,np,nn,np,np,nn,np,np,nn
88,pPt-539732,<nnxnp>,{-0},"(nn,np)",np,np,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,nn,nn,np,np,--,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,np,np,np,nn,np,np,np,nn,nn,np,np,nn,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,nn
89,pPt-533896,<nnxnp>,{-0},"(nn,np)",np,np,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,np,np,np,nn,np,np,np,nn,nn,np,np,nn,np,nn,nn,nn,--,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,nn,np,--,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,nn
90,pPt-473407,<nnxnp>,{-0},"(nn,np)",np,np,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,np,np,np,nn,np,np,np,nn,nn,np,np,nn,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,--,np,np,nn,np,np,nn,np,np,nn
91,pPt-534891,<nnxnp>,{-0},"(nn,np)",np,np,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,np,np,np,nn,np,np,np,nn,nn,np,np,nn,np,nn,nn,nn,np,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,nn
92,capPt-706966,<nnxnp>,{-0},"(nn,np)",np,np,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,nn,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,np,nn,nn,np,nn,np,np,np,np,np,nn,np,np,np,nn,nn,np,np,nn,np,nn,nn,nn,np,np,nn,nn,--,np,nn,np,nn,np,np,nn,np,nn,nn,np,nn,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,np,nn,nn,np,nn,nn,np,np,np,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,np,np,np,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,nn,np,np,nn,np,np,nn,np,np,nn
93,stsnp_c1_6856,<nnxnp>,{-0},"(nn,np)",np,np,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,nn,np,np,--,--,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,np,nn,np,nn,nn,nn,np,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,nn,np,np,nn,--,--,nn,--,--,nn,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,np,np,np,np,nn,np,np,np,np,np,np,nn,np,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn
94,pPt-651011,<nnxnp>,{-0},"(nn,np)",np,np,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,np,nn,nn,nn,np,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,np,nn,np,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn
95,toPt-437726,<nnxnp>,{-0},"(nn,np)",np,np,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,np,nn,--,np,np,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,np,nn,nn,nn,np,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,nn,--,np,nn,np,np,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn
96,pPt-471637,<nnxnp>,{-0},"(nn,np)",np,np,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,np,nn,nn,nn,np,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn
97,toPt-437061,<nnxnp>,{-0},"(nn,np)",np,np,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,--,np,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,np,nn,nn,nn,np,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn
98,stsnp_c1_6307,<nnxnp>,{-0},"(nn,np)",np,np,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,nn,np,np,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,np,np,nn,np,nn,np,nn,nn,np,nn,np,nn,np,nn,--,--,nn,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,np,nn,nn,nn,np,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,nn,np,np,nn,--,--,nn,--,--,nn,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn
99,PM0153_373,<nnxnp>,{-0},"(nn,np)",np,np,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,nn,np,nn,nn,np,np,nn,nn,nn,nn,np,np,nn,np,--,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,nn,nn,nn,nn,nn,np,np,np,np,np,nn,np,nn,np,nn,nn,nn,np,nn,np,nn,np,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,--,nn,np,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,nn,np,np,nn,np,np,nn,nn,np,nn,np,nn,np,nn,nn,np,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,nn,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,np,np,nn,nn,np,np,np,nn,np,np,nn,np,np,nn,np,np,nn
100,stsnp_c1_4565,<nnxnp>,{-0},"(nn,np)",np,np,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,np,nn,np,nn,--,--,nn,nn,nn,nn,nn,nn,np,np,np,np,np,nn,nn,nn,np,np,nn,nn,np,np,np,nn,np,np,nn,nn,nn,nn,np,np,nn,np,np,np,np,nn,np,nn,nn,np,np,nn,np,np,nn,nn,nn,np,np,nn,np,np,nn,--,--,np,--,nn,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,np,np,np,nn,np,np,nn,nn,np,np,np,nn,nn,np,nn,np,np,--,np,np,nn
101,pPt-538396,<nnxnp>,{-0},"(nn,np)",np,np,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,nn,nn,nn,np,np,nn,nn,np,--,np,nn,np,np,nn,nn,nn,nn,np,np,nn,np,np,np,np,nn,np,nn,nn,np,np,nn,nn,np,nn,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,np,np,np,nn,np,np,nn,nn,np,np,np,nn,nn,np,nn,np,np,nn,np,np,nn
102,pPt-471162,<nnxnp>,{-0},"(nn,np)",np,np,nn,np,np,nn,nn,nn,nn,nn,nn,np,np,np,np,np,np,nn,np,nn,nn,--,np,nn,np,nn,nn,np,np,nn,np,nn,np,np,nn,np,nn,np,nn,np,nn,nn,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,np,nn,nn,nn,np,np,nn,nn,np,np,np,nn,np,np,nn,nn,nn,nn,np,np,nn,np,np,np,np,nn,np,nn,nn,np,np,nn,--,np,nn,nn,nn,np,np,nn,np,np,nn,np,np,np,nn,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,np,np,np,np,nn,nn,np,nn,nn,np,np,nn,np,nn,nn,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,np,nn,nn,np,np,np,nn,np,np,nn,nn,np,np,np,nn,nn,np,nn,np,np,nn,np,np,nn
103,MICRO.8582.C1_613,<nnxnp>,{-0},"(nn,np)",np,np,nn,np,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,np,nn,np,np,np,nn,np,nn,nn,nn,np,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,nn,nn,np,nn,nn,nn,np,nn,np,np,np,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,nn,np,np,nn,nn,nn,nn,np,np,nn,np,np,np,np,nn,np,nn,nn,np,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,--,--,np,nn,np,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,nn,np,nn,nn,np,np,np,np,nn,nn,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,np,np,np,nn,np,np,nn,np,nn,nn,nn,np,np,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,np,nn,np,np,nn
104,stsnp_c1_7093,<nnxnp>,{-0},"(nn,np)",np,np,nn,nn,np,nn,nn,nn,nn,nn,nn,nn,np,np,np,np,nn,nn,np,nn,np,np,np,nn,np,nn,nn,nn,np,np,nn,nn,np,nn,nn,np,nn,np,nn,np,nn,--,--,np,nn,nn,nn,np,nn,np,np,np,np,nn,nn,nn,nn,np,np,nn,nn,np,np,nn,nn,np,np,nn,nn,nn,nn,np,np,nn,np,np,np,np,nn,np,nn,nn,np,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,--,np,np,--,--,nn,np,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,np,np,nn,np,nn,nn,np,np,np,np,nn,nn,np,nn,nn,np,nn,np,nn,nn,np,nn,nn,np,nn,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,np,nn,np,nn,nn,nn,np,np,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,np,nn,np,np,nn
105,pPt-540141,<nnxnp>,{-0},"(nn,np)",nn,np,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,np,np,np,--,nn,np,np,np,nn,np,np,np,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,np,np,np,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,np,np,np,np,np,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,nn,nn,nn,np,nn,np,np,nn,np,nn,nn,nn,np,np,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,np,nn,np,np,nn
106,pPt-459240,<nnxnp>,{-0},"(nn,np)",nn,np,np,nn,nn,--,nn,nn,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,np,nn,np,np,np,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,np,np,nn,nn,np,np,nn,nn,np,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,np,np,np,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,np,np,np,np,np,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,nn,nn,nn,np,nn,np,np,nn,np,nn,nn,nn,np,np,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,np,nn,np,np,nn
107,PM0022_216,<nnxnp>,{-0},"(nn,np)",nn,np,np,nn,nn,nn,nn,nn,nn,nn,np,nn,np,np,np,np,nn,nn,np,np,np,nn,np,--,np,np,nn,nn,np,np,nn,nn,nn,nn,nn,np,nn,np,nn,np,nn,nn,nn,np,nn,nn,nn,np,nn,np,nn,nn,np,np,nn,nn,nn,np,np,nn,nn,np,--,nn,nn,np,nn,np,np,nn,nn,np,np,nn,np,np,np,nn,nn,nn,nn,nn,nn,np,nn,np,np,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,np,np,np,nn,nn,np,nn,nn,nn,np,--,--,--,--,--,--,--,--,np,nn,np,np,nn,np,np,np,nn,nn,nn,np,nn,nn,nn,nn,np,nn,nn,np,np,nn,np,nn,np,nn,nn,nn,np,--,nn,nn,np,nn,np,np,nn,np,nn,nn,nn,np,np,np,nn,nn,np,nn,nn,np,np,np,nn,nn,np,np,np,np,nn,np,np,nn
108,CTG237LGIV,<nnxnp>,{-1},"(nn,np)",np,nn,np,nn,nn,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,np,np,np,nn,nn,np,nn,np,nn,nn,np,np,np,nn,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,nn,nn,np,np,np,nn,np,np,np,np,nn,np,nn,np,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,np,np,nn,nn,nn,np,np,nn,np,np,np,nn,np,np,np,np,nn,nn,nn,np,nn,nn,nn,np,np,np,nn,np,nn,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,nn,np,np,np,np,np,np,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,nn,np,np,np,np,nn,nn,np
109,stsnp_c1_3704,<nnxnp>,{-1},"(nn,np)",np,nn,np,nn,nn,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,np,np,np,nn,nn,nn,nn,np,nn,nn,np,np,np,nn,nn,nn,nn,np,np,np,np,np,np,--,--,np,np,nn,nn,np,np,np,nn,np,np,np,np,nn,np,np,np,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,nn,nn,np,np,np,nn,nn,nn,np,np,nn,np,np,np,nn,np,np,np,np,--,--,nn,--,--,nn,nn,np,np,np,nn,np,nn,np,np,np,np,nn,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,nn,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,nn,np,np,np,np,nn,nn,np
110,pPt-652727,<nnxnp>,{-1},"(nn,np)",np,nn,np,nn,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,np,np,np,nn,nn,nn,nn,np,nn,np,np,np,np,nn,np,nn,np,np,np,np,np,np,np,nn,np,np,np,nn,nn,np,np,np,nn,np,np,np,np,nn,np,np,np,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,np,nn,np,np,np,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,nn,nn,nn,nn,nn,np,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,nn,np,np,np,np,nn,nn,np
111,stsnp_c1_11135,<nnxnp>,{-1},"(nn,np)",np,np,np,nn,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,np,np,np,nn,nn,nn,nn,np,np,np,np,np,np,nn,np,nn,np,np,np,np,np,np,np,nn,--,np,np,nn,nn,np,np,np,np,np,nn,np,np,nn,np,np,np,nn,np,nn,nn,np,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,np,np,np,np,np,np,np,--,--,nn,--,--,nn,nn,np,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,--,np,nn,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,nn,np,nn,np,nn,np,np,np,np,np,nn,nn,np,np,np,np,nn,nn,np
112,stsnp_c1_14569,<nnxnp>,{-1},"(nn,np)",np,np,np,nn,np,np,nn,np,nn,np,nn,np,nn,np,nn,np,np,nn,np,np,np,nn,nn,nn,nn,np,np,np,np,np,np,nn,np,nn,np,np,np,np,np,np,np,--,--,np,np,nn,nn,np,np,np,np,np,nn,np,np,nn,np,np,np,nn,np,nn,nn,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,nn,np,np,np,nn,nn,nn,np,np,nn,np,np,np,np,np,np,np,np,--,--,nn,--,--,nn,nn,np,np,np,nn,np,nn,np,np,nn,np,nn,nn,np,np,nn,np,np,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,np,np,np,np,np,np,nn,np,np,nn,np,np,nn,np,np,np,np,np,np,np,np,np,nn,np,np,np,np,nn,--,nn,np,nn,np,np,np,np,np,nn,np,np,np,np,np,nn,nn,np
